variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
attention_with_norm,0.7691999673843384,2.4264748096466064,-0.828637421131134,1.5978373885154724,Ouro 2.6B Thinking,0,
attention_without_norm,1.5133769512176514,2.2654969692230225,-0.37606000900268555,1.889436960220337,Ouro 2.6B Thinking,0,
mean_with_norm,1.085275650024414,1.7933006286621094,-0.35401248931884766,1.4392881393432617,Ouro 2.6B Thinking,0,
mean_without_norm,1.4917078018188477,2.547248125076294,-0.5277701616287231,2.019477963447571,Ouro 2.6B Thinking,0,
attention_with_norm,1.665462851524353,0.8724659085273743,0.3964984714984894,1.2689643800258636,Ouro 2.6B Thinking,1,
attention_without_norm,2.303368091583252,1.41695237159729,0.44320785999298096,1.860160231590271,Ouro 2.6B Thinking,1,
mean_with_norm,1.9583157300949097,0.40195679664611816,0.7781794667243958,1.180136263370514,Ouro 2.6B Thinking,1,
mean_without_norm,2.3387720584869385,0.7177230715751648,0.8105244934558868,1.5282475650310516,Ouro 2.6B Thinking,1,
attention_with_norm,2.426192045211792,-0.2635694146156311,1.3448807299137115,1.0813113152980804,Ouro 2.6B Thinking,2,
attention_without_norm,2.681119203567505,0.5019572973251343,1.0895809531211853,1.5915382504463196,Ouro 2.6B Thinking,2,
mean_with_norm,1.4964876174926758,1.125840425491333,0.1853235960006714,1.3111640214920044,Ouro 2.6B Thinking,2,
mean_without_norm,1.9040298461914062,1.3427836894989014,0.28062307834625244,1.6234067678451538,Ouro 2.6B Thinking,2,
attention_with_norm,1.3329755067825317,1.5891910791397095,-0.12810778617858887,1.4610832929611206,Ouro 2.6B Thinking,3,
attention_without_norm,1.7098498344421387,2.3292596340179443,-0.30970489978790283,2.0195547342300415,Ouro 2.6B Thinking,3,
mean_with_norm,1.6111030578613281,1.0253287553787231,0.2928871512413025,1.3182159066200256,Ouro 2.6B Thinking,3,
mean_without_norm,1.9333878755569458,1.7634129524230957,0.08498746156692505,1.8484004139900208,Ouro 2.6B Thinking,3,
attention_with_norm,1.1637041568756104,1.110109806060791,0.026797175407409668,1.1369069814682007,Ouro 2.6B Thinking,4,
attention_without_norm,2.0712525844573975,1.668304681777954,0.20147395133972168,1.8697786331176758,Ouro 2.6B Thinking,4,
mean_with_norm,0.10819981247186661,2.4663238525390625,-1.179062020033598,1.2872618325054646,Ouro 2.6B Thinking,4,
mean_without_norm,1.0713422298431396,2.5989112854003906,-0.7637845277786255,1.8351267576217651,Ouro 2.6B Thinking,4,
attention_with_norm,0.9416468143463135,1.7252901792526245,-0.3918216824531555,1.333468496799469,Ouro 2.6B Thinking,5,
attention_without_norm,1.8350005149841309,1.9561169147491455,-0.060558199882507324,1.8955587148666382,Ouro 2.6B Thinking,5,
mean_with_norm,3.218520402908325,-0.4094610810279846,1.813990741968155,1.4045296609401703,Ouro 2.6B Thinking,5,
mean_without_norm,3.379061698913574,0.215816468000412,1.5816226154565811,1.797439083456993,Ouro 2.6B Thinking,5,
attention_with_norm,3.1047720909118652,-0.7624849677085876,1.9336285293102264,1.1711435616016388,Ouro 2.6B Thinking,6,
attention_without_norm,3.2530293464660645,0.06514518707990646,1.593942079693079,1.6590872667729855,Ouro 2.6B Thinking,6,
mean_with_norm,0.15557332336902618,2.075329303741455,-0.9598779901862144,1.1154513135552406,Ouro 2.6B Thinking,6,
mean_without_norm,0.5118439793586731,2.299304246902466,-0.8937301337718964,1.4055741131305695,Ouro 2.6B Thinking,6,
attention_with_norm,1.0288450717926025,1.8919320106506348,-0.4315434694290161,1.4603885412216187,Ouro 2.6B Thinking,7,
attention_without_norm,1.5655443668365479,2.27618145942688,-0.355318546295166,1.9208629131317139,Ouro 2.6B Thinking,7,
mean_with_norm,1.0969343185424805,1.6050300598144531,-0.25404787063598633,1.3509821891784668,Ouro 2.6B Thinking,7,
mean_without_norm,1.6077518463134766,1.9244818687438965,-0.15836501121520996,1.7661168575286865,Ouro 2.6B Thinking,7,
attention_with_norm,2.0624353885650635,0.6601433753967285,0.7011460065841675,1.361289381980896,Ouro 2.6B Thinking,8,
attention_without_norm,1.9685542583465576,1.849231243133545,0.05966150760650635,1.9088927507400513,Ouro 2.6B Thinking,8,
mean_with_norm,0.6533038020133972,2.2347586154937744,-0.7907274067401886,1.4440312087535858,Ouro 2.6B Thinking,8,
mean_without_norm,1.1759824752807617,2.818293571472168,-0.8211555480957031,1.9971380233764648,Ouro 2.6B Thinking,8,
attention_with_norm,0.8365312814712524,1.4230260848999023,-0.29324740171432495,1.1297786831855774,Ouro 2.6B Thinking,9,
