backbone,variant,n_pairs,canonical_accuracy,canonical_accuracy_ci95,swapped_accuracy,antisym_accuracy,antisym_accuracy_ci95,strict_sign_flip_rate,normal_flipped_pearson,normal_mean,flipped_mean,antisym_mean,antisym_abs_mean,symmetric_order_mean,symmetric_order_abs_mean,symmetric_to_antisym_abs_ratio,both_orders_prefer_first_rate,both_orders_prefer_second_rate
Base Ouro 2.6B,attention_with_norm,200,0.95,"[0.92, 0.9751249999999981]",0.11,0.58,"[0.51, 0.65]",0.16,-0.871594878467009,1.497828571870923,1.0205840488197282,0.23862226152559743,0.6886750628217123,1.2592063103453257,1.2592063103453257,1.8284476646881511,0.84,0.0
Base Ouro 2.6B,attention_without_norm,200,0.99,"[0.975, 1.0]",0.03,0.595,"[0.525, 0.66]",0.04,-0.87492965636438,1.9462612088769675,1.5533724143728613,0.196444397252053,0.5229806715808809,1.7498168116249144,1.7498168116249144,3.3458536934749774,0.96,0.0
Base Ouro 2.6B,mean_with_norm,200,0.95,"[0.92, 0.98]",0.065,0.55,"[0.48, 0.62]",0.115,-0.8339083435029854,1.3620421280385926,1.0403951231297106,0.16082350245444105,0.6087240240187384,1.2012186255841515,1.2012186255841515,1.9733386201086986,0.885,0.0
Base Ouro 2.6B,mean_without_norm,200,0.995,"[0.985, 1.0]",0.035,0.56,"[0.49, 0.625]",0.04,-0.8203136090351116,1.7979998810216784,1.4991059052059428,0.14944698790786787,0.502001064706128,1.6485528931138105,1.6485528931138105,3.2839629415504827,0.96,0.0
Ouro 2.6B Thinking,attention_with_norm,200,0.95,"[0.92, 0.98]",0.13,0.595,"[0.53, 0.665]",0.18,-0.8997921432732293,1.6016440350236372,0.9847491109231487,0.3084474620502442,0.7830075391987339,1.293196572973393,1.293196572973393,1.6515761448436945,0.82,0.0
Ouro 2.6B Thinking,attention_without_norm,200,0.99,"[0.975, 1.0]",0.035,0.6,"[0.535, 0.67]",0.045,-0.9127824311124243,2.0215956879779697,1.5548891480639577,0.23335326995700598,0.5622271056473255,1.7882424180209637,1.7882424180209637,3.1806407056131776,0.955,0.0
Ouro 2.6B Thinking,mean_with_norm,200,0.935,"[0.9, 0.965]",0.11,0.58,"[0.51, 0.65]",0.175,-0.8525570139876936,1.4101143754413352,1.0197984570125118,0.19515795921441167,0.6434121754392982,1.2149564162269235,1.2149564162269235,1.8883018733635184,0.825,0.0
Ouro 2.6B Thinking,mean_without_norm,200,0.99,"[0.975, 1.0]",0.025,0.55,"[0.4848750000000001, 0.62]",0.035,-0.8450338629049449,1.851004397906363,1.5093047745898367,0.1708498116582632,0.5248253043368458,1.6801545862480998,1.6801545862480998,3.201359714107335,0.965,0.0
Ouro RLTT local,attention_with_norm,200,0.945,"[0.91, 0.975]",0.13,0.6,"[0.53, 0.67]",0.185,-0.9016343980217211,1.595663720634766,0.9879802152141929,0.3038417527102865,0.7965475333086215,1.2918219679244793,1.2918219679244793,1.621776371032919,0.815,0.0
Ouro RLTT local,attention_without_norm,200,0.99,"[0.975, 1.0]",0.035,0.61,"[0.5448750000000001, 0.675]",0.045,-0.9135815264327435,2.019715024866164,1.551342456699349,0.23418628408340736,0.5747748364019207,1.7855287407827563,1.7855287407827563,3.106483839759116,0.955,0.0
Ouro RLTT local,mean_with_norm,200,0.935,"[0.9, 0.965]",0.13,0.565,"[0.495, 0.635]",0.195,-0.8585178910522226,1.4122162625286727,1.0142354263132438,0.1989904181077145,0.6571407181839458,1.2132258444209583,1.2132258444209583,1.8462192508383781,0.805,0.0
Ouro RLTT local,mean_without_norm,200,0.99,"[0.975, 1.0]",0.025,0.56,"[0.49, 0.63]",0.035,-0.8510958881037951,1.8531163419084624,1.50483363032341,0.17414135579252615,0.5352225643000565,1.6789749861159362,1.6789749861159362,3.1369659990169416,0.965,0.0
