backbone,eval_row,source_pair,orientation,target_sign,score_ab,score_ba,correct
Base Ouro 2.6B,212,12,rejected_minus_chosen,-1.0,-6.305843353271484,6.305843353271484,1
Base Ouro 2.6B,295,95,rejected_minus_chosen,-1.0,-4.583881378173828,4.583881378173828,1
Base Ouro 2.6B,364,164,rejected_minus_chosen,-1.0,-9.276795387268066,9.276795387268066,1
Base Ouro 2.6B,251,51,rejected_minus_chosen,-1.0,-0.9750304222106934,0.9750304222106934,1
Base Ouro 2.6B,390,190,rejected_minus_chosen,-1.0,5.515302658081055,-5.515302658081055,0
Base Ouro 2.6B,365,165,rejected_minus_chosen,-1.0,-3.750983238220215,3.750983238220215,1
Base Ouro 2.6B,303,103,rejected_minus_chosen,-1.0,-2.817369222640991,2.817369222640991,1
Base Ouro 2.6B,269,69,rejected_minus_chosen,-1.0,-2.8638200759887695,2.8638200759887695,1
Base Ouro 2.6B,201,1,rejected_minus_chosen,-1.0,-1.8770298957824707,1.8770298957824707,1
Base Ouro 2.6B,161,161,chosen_minus_rejected,1.0,3.4111642837524414,-3.4111642837524414,1
Base Ouro 2.6B,43,43,chosen_minus_rejected,1.0,-1.4541311264038086,1.4541311264038086,0
Base Ouro 2.6B,217,17,rejected_minus_chosen,-1.0,-4.910443305969238,4.910443305969238,1
Base Ouro 2.6B,190,190,chosen_minus_rejected,1.0,-5.515302658081055,5.515302658081055,0
Base Ouro 2.6B,309,109,rejected_minus_chosen,-1.0,-3.809326410293579,3.809326410293579,1
Base Ouro 2.6B,259,59,rejected_minus_chosen,-1.0,-1.671583890914917,1.671583890914917,1
Base Ouro 2.6B,105,105,chosen_minus_rejected,1.0,3.245877742767334,-3.245877742767334,1
Base Ouro 2.6B,53,53,chosen_minus_rejected,1.0,1.9878615140914917,-1.9878615140914917,1
Base Ouro 2.6B,1,1,chosen_minus_rejected,1.0,1.8770298957824707,-1.8770298957824707,1
Base Ouro 2.6B,49,49,chosen_minus_rejected,1.0,2.638437509536743,-2.638437509536743,1
Base Ouro 2.6B,80,80,chosen_minus_rejected,1.0,3.7936623096466064,-3.7936623096466064,1
Base Ouro 2.6B,205,5,rejected_minus_chosen,-1.0,-2.9420406818389893,2.9420406818389893,1
Base Ouro 2.6B,34,34,chosen_minus_rejected,1.0,4.001507759094238,-4.001507759094238,1
Base Ouro 2.6B,263,63,rejected_minus_chosen,-1.0,-1.1500517129898071,1.1500517129898071,1
Base Ouro 2.6B,91,91,chosen_minus_rejected,1.0,1.6907265186309814,-1.6907265186309814,1
Base Ouro 2.6B,339,139,rejected_minus_chosen,-1.0,-6.184101104736328,6.184101104736328,1
Base Ouro 2.6B,52,52,chosen_minus_rejected,1.0,-2.7406177520751953,2.7406177520751953,0
Base Ouro 2.6B,345,145,rejected_minus_chosen,-1.0,-3.0098094940185547,3.0098094940185547,1
Base Ouro 2.6B,264,64,rejected_minus_chosen,-1.0,-0.8924016952514648,0.8924016952514648,1
Base Ouro 2.6B,241,41,rejected_minus_chosen,-1.0,-4.024533271789551,4.024533271789551,1
